,Filename,Beta Score,Turn Score,Plddt,Plddt Target
10,relaxed_model_1_multimer_v3_pred_4.pdb,0.459,0.715,33.353,35.62
2,relaxed_model_1_multimer_v3_pred_2.pdb,0.343,0.711,33.183,36.025
5,relaxed_model_1_multimer_v3_pred_1.pdb,0.369,0.774,33.106,34.297
0,relaxed_model_1_multimer_v3_pred_3.pdb,0.449,0.92,33.088,34.304
3,relaxed_model_1_multimer_v3_pred_0.pdb,0.338,0.814,32.861,34.804
14,relaxed_model_5_multimer_v3_pred_1.pdb,0.239,0.666,30.95,33.0
24,relaxed_model_4_multimer_v3_pred_4.pdb,0.133,0.648,30.924,32.159
17,relaxed_model_4_multimer_v3_pred_0.pdb,0.527,0.362,30.863,32.545
19,relaxed_model_4_multimer_v3_pred_2.pdb,0.521,0.597,30.72,32.097
16,relaxed_model_4_multimer_v3_pred_1.pdb,0.415,0.755,30.705,32.074
22,relaxed_model_4_multimer_v3_pred_3.pdb,0.533,0.517,30.521,31.324
9,relaxed_model_2_multimer_v3_pred_1.pdb,0.044,0.831,30.476,31.43
20,relaxed_model_3_multimer_v3_pred_1.pdb,0.539,0.349,30.366,31.127
4,relaxed_model_2_multimer_v3_pred_4.pdb,0.058,0.726,30.348,31.3
15,relaxed_model_3_multimer_v3_pred_2.pdb,0.486,0.602,30.101,30.676
12,relaxed_model_2_multimer_v3_pred_3.pdb,0.049,0.726,30.061,31.06
13,relaxed_model_2_multimer_v3_pred_2.pdb,0.158,0.831,29.89,30.186
23,relaxed_model_3_multimer_v3_pred_4.pdb,0.392,0.542,29.757,30.342
6,relaxed_model_2_multimer_v3_pred_0.pdb,0.1,0.762,29.753,30.612
7,relaxed_model_5_multimer_v3_pred_3.pdb,0.112,0.713,29.651,31.198
1,relaxed_model_5_multimer_v3_pred_4.pdb,0.267,0.744,29.576,30.719
8,relaxed_model_5_multimer_v3_pred_2.pdb,0.227,0.646,29.145,30.097
18,relaxed_model_3_multimer_v3_pred_3.pdb,0.092,0.882,29.065,30.65
21,relaxed_model_3_multimer_v3_pred_0.pdb,0.159,0.7,29.003,30.086
11,relaxed_model_5_multimer_v3_pred_0.pdb,0.07,0.533,28.927,30.069
